Event Name,Country,Subnational,Metro Area,Venue Name,Address,Frequency,When,Type,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Twitter,Bluesky,Discord,Facebook,Instagram,Website / Startgg / Linktree / Etc,Email,Twitch1,Twitch2,YouTube,Other Notes,Status,Added,Last Update
Beat by 44,France,,Nantes,Game Over,"1 Rue Lebrun, 44000 Nantes",Weekly,Tuesday,Tournament,SF6,GBVSR,Tekken,Various,,,,,,,Beatby44,,Beat by 44,,Beat by 44 Nantes,,,,,Beat by 44,,Active,2024.0118,2024.0118
KnockOut Zone,France,,Paris,Maison de l'Esport,"14/20 Rue Soleillet, 75020 Paris",Weekly,Monday,Tournament,SSBU,SF6,,,,,,,,,OrbitalSheep,,Orbital Sheep,,OrbitalSheep,https://www.start.gg/hub/orbital-sheep,,,,,,Active,2024.0118,2024.0118
Oni's Last Impact,France,,Paris,Onï,"3 Rue Crespin du Gast, 75011 Paris",Weekly,Thursday,Tournament,SSBU,,,,,,,,,,OrbitalSheep,,Orbital Sheep,,OrbitalSheep,https://www.start.gg/hub/orbital-sheep,,,,,,Active,2024.0118,2024.0118
R-Dash,France,,Rennes,La Maison Bleue,"123 Bd de Verdun, 35000 Rennes, France",Monthly,Sunday,Tournament,SF6,Tekken,GGST,3S,Various,,,,,,RDashAsso,rdashasso,La dose bretonne !,,,r-dash.fr,ranking.rennais@gmail.com,RDashAsso,,R-Dash,"Rebranded, previously Ranking Rennais",Active,2024.0118,2024.1212
Super Smash Breizh ,France,,Rennes,La Maison du Jeu Vidéo,"2 Rue du Sous-Lieutenant Yves Berger, 35200 Rennes",Weekly,Sunday,Casuals,SSBU,,,,,,,,,,SSBreizh,,Super Smash Breizh,,,https://www.lamaisondujeuvideo.com/,supersmashbreizh@gmail.com,SuperSmashBreizh,,,"Dissolved as of Feb 22 2024, source",Active,2024.0402,2024.0402
Weekly Freeplay,France,,Rennes,La Maison du Jeu Vidéo,"2 Rue du Sous-Lieutenant Yves Berger, 35200 Rennes",Weekly,Wednesday,Casuals,SF6,Tekken,GGST,KOFXV,3S,Various,,,,,MJVRennes,,La dose bretonne !,,,https://www.lamaisondujeuvideo.com/,,,,,,Active,2024.0118,2024.0118
Toulouse Versus Fighters,France,,Toulouse,Maison de quartier de Pech-David,"17 Rue de la Charbonnière, 31400 Toulouse",Every 2 Weeks,Monday,Tournament,SF6,GGST,Tekken,MK1,Various,,,,,,TvSFighters,,Toulouse VS Fighters,Toulouse Vs Fighters,,https://linktr.ee/ToulouseVersusFighters,,toulousevsfighters,,Toulouse VS Fighters,,Active,2024.0118,2024.0118
Berlin FGC,Germany,,Berlin,LVL Gaming Berlin,"Schützenstraße 73, 10117 Berlin",Weekly,Thursday,Tournament,SF6,GGST,Various,,,,,,,,BerlinFGC,,Berlin FGC,,,,BerlinFGC@gmail.com,BerlinFGC,,,,Active,2024.0118,2024.0118
VirtuaSmash,Germany,,Braunschweig,VirtuaLounge,"Kleine Burg 15, 38100 Braunschweig",Monthly,Saturday,Tournament,SSBU,,,,,,,,,,VirtuaLoungeBS,,Niedersachsen/Bremen Smash,,,https://www.virtualounge.de/,,VirtuaLounge,,,,Active,2024.0118,2024.0118
Bunker Fights,Germany,,Frankfurt am Main,2BCU Studio,"Am Brennhaus 20, 65933 Frankfurt am Main",Monthly,Saturday,Tournament,SF6,Tekken,,,,,,,,,2becommunity,,2BeCommUnity,,,https://www.2becommunity.de/home/,,2BCU,,,,Active,2024.0118,2024.0118
MadGear FFM,Germany,,Frankfurt am Main,MadGearFFM,"Dreieichstr. 8, 64546 Mörfelden-Walldorf",Every 2 Weeks,Saturday,Casuals,SF6,GBVSR,GGXXACR,GGXrd,GGST,BBCF,Tekken,Various,,,MadGearFFM,,Mad Gear FFM,,,https://madgear.club/,kontakt@madgear.club,MadGearFFM,,MadGearFFM,,Active,2024.0118,2024.0118
Freiburg eSports e.V.,Germany,,Freiburg,Freiburg eSports e.V.,"Markgrafenstraße 38, 79115 Freiburg",See Notes,Varies,Casuals,SF6,Various,,,,,,,,,eSportsFreiburg,,Freiburg eSports e.V.,,,,,,,,Frequency varies,Active,2024.0118,2024.1224
Bare Knuckle Altona,Germany,,Hamburg,Kulturladen Hamm,"Sievekingdamm 3, 20535 Hamburg",Weekly,Friday,Casuals,SF6,Tekken,KOFXV,Anime Etc,,,,,,,FGC_Hamburg,,FGC Hamburg,Bare Knuckle Altona,,http://bareknucklealtona.de/#weekly,,BareKnuckleAltona,,Bare Knuckle Altona,,Active,2024.0118,2024.0118
Fight Club Karlsruhe,Germany,,Karlsruhe,ZED,"Engler-Bunte-Ring 15, 76131 Karlsruhe",Weekly,Friday,Casuals,GGST,SF6,Tekken,MK1,SSBU,,,,,,,,Fight Club Karlsruhe,,,,,,,,,Active,2024.0118,2024.0118
Core Gamer Treff Casuals,Germany,,Rhine-Ruhr,Core Gamer Treff,"Wilhelm-Schiffer-Straße 57, 41239 Mönchengladbach",Weekly,Tuesday,Casuals,SF6,Tekken,GBVSR,SSBU,,,,,,,CoreGamerTreff,,CoreGamerTreff,Coregamertreff,CoreGamerTreff,https://coregamertreff.de/,info@coregamertreff.de,coregamertreff,,,Also open for casuals Friday & Saturday,Active,2024.0118,2024.0118
Core Gamer Treff Monthlies,Germany,,Rhine-Ruhr,Core Gamer Treff,"Wilhelm-Schiffer-Straße 57, 41239 Mönchengladbach",Monthly,Saturday,Tournament,SF6,Tekken,GBVSR,SSBU,,,,,,,CoreGamerTreff,,CoreGamerTreff,Coregamertreff,CoreGamerTreff,https://coregamertreff.de/,info@coregamertreff.de,coregamertreff,,,,Active,2024.0118,2024.0118
Insert Game,Germany,,Rhine-Ruhr,Insert Game,Kronprinzenstraße 3042655 Solingen,Weekly,Saturday,Casuals,SF6,KOFXI,VF5,KOF98,Retro,,,,,,Insertgamedojo,,,,,https://www.insertgame.de/,,,,Insert Game,,Active,2024.0118,2024.0118
Cologne Fight Night,Germany,,Rhine-Ruhr,Xperion Köln Hansaring,"Hansaring 97, 50670 Köln",Weekly,Friday,Tournament,SF6,,,,,,,,,,fhASSA_,,German FGC,,,,,,,,,Active,2024.0118,2024.0118
LOK Dojo,Greece,,Athens,LOK's Actual Garage,"Athens, Greece",Monthly,Unknown,Casuals,Tekken,SF6,GGST,MK1,DBFZ,BBCF,,,,,LegacyOfKaiser,,,,,,tojasos@yahoo.gr,LegacyOfKaiser,,LegacyOfKaiser,Contact for address,Active,2024.0118,2024.0118
BUSHO Monthly Offline,Hungary,,Budapest,Delta 1 Esports Café,"Lechner Ödön fasor 1, 1095 Budapest, Hungary",Monthly,Saturday,Casuals,SF6,GGST,Tekken,GBVSR,Various,,,,,,Busho_FGC,,BUSHO - Hungarian FGC,BUSHO FGC,,,,BUSHOfgc,,BUSHO,Usually held on the last Saturday of the month,Active,2024.1212,2025.0417
Níðhöggur,Iceland,,Reykjavik,Arena Gaming,"Smáratorg Tower, Smáratorg 3, 1. hæð, 201 Kópavogur",Every 2 Weeks,Saturday,Tournament,SF6,Tekken,GGST,GBVSR,Various,,,,,,nidhoggurfgc,,Ásgarður,Ásgarður - fgc.is,,https://t.co/IITrlxijv7,nidhoggurfgc@gmail.com,FGCIceland,,FGCIceland,,Active,2024.0215,2024.0215
Zoners Paradise,Iceland,,Reykjavik,Arena Gaming,"Smáratorg Tower, Smáratorg 3, 1. hæð, 201 Kópavogur",Monthly,Saturday,Tournament,SSBU,,,,,,,,,,ZonersParadise,,Íslenska Smash Bros Discord,Super Smash Bros Ísland,,,,,,,,Active,2024.0215,2024.0215
Saturday Spar Sessions,India,Delhi,Delhi,Unknown,"Delhi, India",Weekly,Saturday,Tournament,Unknown,,,,,,,,,,IndianFGC,,,,indianfgc,,,indianfgc,,,,Active,2024.0118,2024.0118
Sunday Spar Sessions,India,Tamil Nadu,Chennai,LXG,"1st Floor, Fortuna Towers, No. 1, 1, Dr MGR Salai, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034, India",Weekly,Sunday,Tournament,SSBU,SSBM,SF6,Anime Etc,,,,,,,IndianFGC,,,,indianfgc,,,indianfgc,,IndianFGC,,Active,2024.0118,2024.0118
Fighting Gamers Jogja (FAIJO),Indonesia,Daerah Istimewa Yogyakarta,Yogya,Puskop Tamsis,"No. 150-F, Jl. Taman Siswa, Wirogunan, Mergangsan, Yogyakarta City, Special Region of Yogyakarta 55151",Weekly,Saturday,Casuals,Tekken,GGST,SF6,GBVSR,Various,,,,,,,,Fighting Gamers Jogjakarta (FAIJO!),,faijo_jogja,linktr.ee/faijo_fgc,faijo.jogja@gmail.com,,,,,Active,2024.0118,2024.0118
CrossPlay,Indonesia,East Java,Malang,EbesQu Kofie & Eatery,"Jl. Ciliwung I No.2, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122",Weekly,Wednesday,Casuals,Various,,,,,,,,,,CrossGathering,,CG X DTC,CrossGath,CrossGathering,https://linktr.ee/crossgathering,cupui@yahoo.com,,,CGxDTC East Java FGC,,Active,2024.0118,2024.0118
Drop The Cap,Indonesia,East Java,Surabaya,Level 99 Store Marvell City,"Jl. Ngagel No.123, Ngagel, Kec. Wonokromo, Kota SBY, Jawa Timur 60246 Marvell City Mall 2nd Floor, Ngagel, Kec. Wonokromo, Surabaya, Jawa Timur 60246, Indonesia",Weekly,Sunday,Casuals,GBVSR,SF6,Tekken,GGST,BBCF,MBTL,DFCI,Various,,,DTCFGC,,,Drop The Cap,,,fgc.dropthecap@gmail.com,,,,,Active,2024.0118,2025.0110
FightHouse Weeklies,Ireland,,Galway,P.J. Flaherty's,"82 Salthill Rd Lower, Galway, H91 C5R2",Weekly,Tuesday,Tournament,SF6,SSBU,,,,,,,,,FightHouseTV,,SSBU Ireland,,,,galaxyejyt@gmail.com,FightHouseTV,,,,Active,2024.0118,2024.0118
Foxhound Factory,Italy,Campania,Napoli,Foxhound Factory,"Corso Atella, 5, 81030 Succivo CE, Italy",Weekly,Thursday,Casuals,Tekken,,,,,,,,,,,,Vesuvian Zaibatsu,,,,,,,,,Active,2024.1212,2024.1212
OkiFlask,Italy,Lombardy,Brescia,Mana Flask,"48 Via Orzinuovi, 25125 Brescia BS, Italy",Monthly,Varies,Casuals,GBVSR,UNI,SF6,KOFXV,Various,,,,,,Spaghetti Showdown,,Spaghetti Showdown - Italian FGC,,,,,,,,,Active,2025.0324,2025.0324
Rampage Gaming Center,Italy,,Rome,Rampage Gaming Center,"Via Ostiense & Via Giovanni di Empoli, Roma, RM, Italy",Every 2 Weeks,Saturday,Tournament,Tekken,SF6,SF6,KOFXV,DBSpark,,,,,,UHUHAHAAAHGAMES,,,,Astros Gaming Roma,,nicound97@gmail.com,RampageGCRoma,CenciuNC,Rampage Gaming Center,Saturday & Sunday,Active,2024.1212,2025.0315
Taisenkai Competitive Meetup,Japan,Fukuoka,Fukuoka,"(varies, check notes column)","Fukuoka, Japan",See Notes,,Tournament,Various,,,,,,,,,,F_taisenkai,,,,,,,,,,Frequency varies,Active,2024.1213,2024.1224
Freestyle Bar Pit,Japan,,Osaka,Freestyle Bar Pit,Freestyle Bar Pit,Weekly,Friday,Tournament,,,,,,,,,,,,,,,,,,,,,source,Active,2024.0122,2024.0122
Game Bar Bridge,Japan,,Tokyo,Game Bar Bridge,"Japan, 〒190-0012 Tokyo, Tachikawa, Akebonocho, 2 Chome−25−4 2F",Weekly,Varies,Tournament,GGST,SF6,Tekken,UNI,,,,,,,,,,,,Game Bar Bridge,,,,,"Runs multiple times a week with various games, check FuguTabetai's page",Active,2024.0402,2024.0402
Tatakai Tuesday,Japan,,Tokyo,Red Bull Gaming Sphere Tokyo,"〒164-0001 Tokyo, Nakano City, Nakano, 3 Chome−33−18 フェルテ中野 B1F",Every 2 Weeks,Tuesday,Tournament,GGST,Tekken,UNI,MBTL,Various,,,,,,MothmanFGC,,,,,,,AnimeILLUMINATI,,,,Active,2024.0402,2024.0402
ShotBar Lucy,Japan,,Tokyo,ShotBar Lucy,"Japan, 〒101-0052 Tokyo, Chiyoda City, 神田小川町 3-10-26 太田屋ビル2F",Weekly,Varies,Tournament,Tekken,SF6,MBTL,KOFXV,,,,,,,,,,,,ShotBar Lucy,,,,,"Runs multiple times a week with various games, check FuguTabetai's page",Active,2024.0402,2024.0402
Retro Multiplayer,Latvia,,Riga,Retro Multiplayer,Kr. Barona 130 k-12,Monthly,Varies,Casuals,Tekken,SF6,GGST,Various,,,,,,,KBakirovs,,Retro Multiplayer,,LFGC.Community,,,,,,,Active,2024.0118,2024.0118
UniCon Cafe Riga,Latvia,,Riga,UniCon Cafe Riga,"Aleksandra Čaka iela 58, Latgales priekšpilsēta, Rīga, LV-1011",Monthly,Varies,Casuals,Tekken,SF6,GGST,Various,,,,,,,KBakirovs,,FGC Latvia,,LFGC.Community UniCon Cafe,,,,,,,Active,2024.0118,2024.0118
World of Games,Latvia,,Riga,World of Games,"Tērbatas iela 6/8, Centra rajons, Rīga, LV-1050",Monthly,Varies,Casuals,Tekken,SF6,GGST,Various,,,,,,,KBakirovs,,FGC Latvia,,LFGC.Community WOG_Bar,,,,,,,Active,2024.0118,2024.0118
Fighting Corner Lux,Luxembourg,,Luxembourg,Kulturhaus Kopstal,"6 Rue de Mersch, 8181 Kopstal Kopstal, Luxembourg",Monthly,Saturday,Tournament,MK1,Various,,,,,,,,,FGC_LUX  videogameslu,,,,,,spigale88@yahoo.fr,fightingcornerlux,,,,Active,2024.0118,2024.0118
Central Smash Series,Luxembourg,,Luxembourg,SweetSpot Asbl,"7 Rue François-Christian Gerden, 8132 Bridel Kopstal, Luxemburg",Monthly,Saturday,Tournament,SSBU,,,,,,,,,,SweetSpot asbl  videogamslu,,Orga & LUX BR Server,SweetSpot Asbl,,,asblsweetspot@gmail.com,,,,,Active,2024.0118,2024.0118
Atlas Gamers,Malaysia,Selangor,Petaling Jaya,Atlas Gamers,"Jalan SS 21/62 & Jalan SS21/1, Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",Weekly,Friday,Tournament,Tekken,,,,,,,,,,,,,InsertCoinMalaysia,,,infinitecarnagemy@gmail.com,,,,,Active,2024.0714,2025.0428
Atlas Gamers,Malaysia,Selangor,Petaling Jaya,Atlas Gamers,"Jalan SS 21/62 & Jalan SS21/1, Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",Weekly,Sunday,Tournament,SF6,UMvC3,Various,,,,,,,,,,,InsertCoinMalaysia,,,infinitecarnagemy@gmail.com,,,,,Active,2024.0714,2025.0428
Astral Finish,Mexico,Jalisco,Guadalajara,Royalty House,"Av Naciones Unidas 5179, Jardines Universidad, 45110 Guadalajara, Jalisco",Monthly,Saturday,Tournament,SF6,GBVSR,GGST,Various,,,,,,,af_gdl,,,,,,davidortega966@gmail.com,,,,,Active,2024.0118,2024.0118
That Green Stuff,Netherlands,,Almere,GamingLoods,"Markerkant 15 25q 1314 AV Almere, Netherlands",Monthly,Saturday,Tournament,SF6,Tekken,,,,,,,,,,,"""De Loods"" Almere",,,start.gg/thatgreenstuff,,GamingLoods,,,,Active,2024.0621,2024.0621
ZeroFundies,Netherlands,,Amersfoort,Denksport Centrum Amersfoort,"Nijverheidsweg-Noord 76c, 3812 PM Amersfoort, Netherlands",Every 6 Weeks,Varies,Tournament,GGXrd,BBCF,Anime Etc,,,,,,,,ZeroFundies,,,,,start.gg/zerofundies,zerofundamentalsfgc@gmail.com,ZeroFundies,,,,Active,2024.0118,2024.0118
Project Lucia,Netherlands,,Arnhem,GamerzParadise,"Looierstraat 50, 6811 AZ Arnhem",Monthly,Unknown,Tournament,GGST,GGXrd,Rivals,Anime Etc,,,,,,,ArirapLIVE,,,,,,,,,,,Active,2024.0118,2024.0118
Strike Zone,Netherlands,,Eindhoven,Dynamo Esports Center,"Catharinaplein 215611 DE Eindhoven, Netherlands",Every 2 Weeks,Thursday,Tournament,GGST,SF6,GBVSR,SC2,Various,,,,,,DynamoEsportsNL,,Dynamo Esports Center,,,,,,,,,Active,2024.0118,2024.0118
GameNest,Netherlands,,The Hague,GameNest,"Luxemburglaan 1, 2711 BD Zoetermeer, Netherlands",Monthly,Friday,Tournament,SF6,GGST,GBVSR,Retro,,,,,,,AlirezaFGC,,,,,,,,,,,Active,2024.0118,2024.0118
Auckland Ranbats,New Zealand,,Auckland,The Reserve,"133 Line Road, Glen Innes, Auckland 1072",Every 2 Weeks,Saturday,Tournament,SF6,Tekken,GBVSR,GGST,UMvC3,MK1,,,,,standing_fierce,,Standing Fierce NZFGC,Standing Fierce,,https://www.standingfierce.com/,standingfiercedave@gmail.com,StandingFierce,,,On break until March 2 2024,Active,2024.0118,2024.0118
Fighting Monthlies,New Zealand,,Christchurch,Ara Student Lounge," 130 Madras St, Christchurch Central, Christchurch 8011",Monthly,Saturday,Tournament,GGST,SSBU,Tekken,Various,,,,,,,AftershockFgc,,,,,,,aftershockfgc,,,,Active,2024.0118,2024.0118
Hambats Mighty Monthly,New Zealand,,Hamilton,Western Community Centre,"46 Hyde Avenue, Nawton, Hamilton 3200",Monthly,Saturday,Tournament,Tekken,SF6,MK1,SSBU,Various,,,,,,ArahSensei,,,,,,Deane.mason15@gmail.com,Arahshii,,,,Active,2024.0119,2024.0119
Wellington Ranbats,New Zealand,,Wellington,Respawn Esports Center,"9 Manners Street, Te Aro, Wellington 6011",Monthly,Sunday,Tournament,SSBU,MK1,SF6,Tekken,GGST,SSBM,Rivals,KOFXV,GBVSR,P4AU,RespawnEsportsW,,,Wellington FGC,,,Jackson@respawn.co.nz,,,,,Active,2024.0118,2024.0118
Suya Battles,Nigeria,Lagos State,Lagos,Natives Restaurant,"4 Adeyemo Alakija St, Victoria Island, Lagos 106104, Lagos",Weekly,Thursday,Tournament,SF6,,,,,,,,,,SuyaBattles,,,,,,suyabattles@gmail.com,,,,,Active,2024.0118,2024.0118
GG Bergen,Norway,,Bergen,Ungdommens Hus,"Herman Grans vei 6, Laksevåg, Bergen",Weekly,Friday,Casuals,BBCF,GGST,SF6,Tekken,,,,,,,,,GG Bergen  Norsk FGC,GG Bergen,,,fredrik@ggbergen.org,,,GG Bergen,,Active,2024.0118,2024.0118
House of Fighters,Norway,,Oslo,House of Nerds Vulkan,"Vulkan 8, 0178 Oslo",Weekly,Thursday,Tournament,SF6,Tekken,GGST,Various,,,,,,,RankingBattlesN,,Norsk FGC,Ranking Battles Norway,,https://rbnorway.org/,,RBNorway,,Ranking Battles Norway,,Active,2024.0118,2024.0118
FRAME,Norway,,Skien,Fellesverket Fratelli,"Gimsøy Plass 5, 3730 Skien",Every 2 Weeks,Saturday,Tournament,SSBM,SSBU,SF6,Tekken,GGST,,,,,,,,Norsk FGC,,,,,,,,"May be Sunday instead, which day they can get may be back & forth",Active,2024.0118,2024.0118
BÅTIS,Norway,,Tromsø,Tvibit,"Parkgata 27, 9008 Tromsø",See Notes,Weekend,Tournament,GGST,SF6,Rivals,SSBM,HDR,SSBU,Tekken,SSB64,P+,Various,Smash Nord-Norge,Smash Nord-Norge,Spirit of Smash,Smash Nord-Norge,,https://start.gg/baotis,,SpiritofSmash,,Smash Nord-Norge,Happens every 6 weeks,Active,2024.1224,2024.1224
Friendlies PR,Norway,,Tromsø,Tvibit,"Parkgata 27, 9008 Tromsø",Weekly,Wednesday,Tournament,SSBM,SSBU,Rivals,HDR,SSB64,P+,,,,,Smash Nord-Norge,Smash Nord-Norge,Spirit of Smash,Smash Nord-Norge,,https://start.gg/fpr,,SpiritofSmash,,Smash Nord-Norge,Games rotate every week,Active,2024.1224,2024.1224
Honing Traditions,Norway,,Tromsø,Tvibit,"Parkgata 27, 9008 Tromsø",See Notes,Wednesday,Tournament,GGST,SF6,Tekken,GBVSR,Various,,,,,,Smash Nord-Norge,Smash Nord-Norge,Spirit of Smash,Smash Nord-Norge,,https://start.gg/honingtraditions,,SpiritofSmash,,Smash Nord-Norge,Games rotate every week; happens every 3rd week,Active,2024.1224,2024.1224
Maniax,Pakistan,,Lahore,Maniax Gaming Hub,"1055 Fazal e Haq Rd, near daraz office, Karim Block Allama Iqbal Town, Lahore, Punjab 54000",Weekly,Saturday,Tournament,Tekken,,,,,,,,,,Maniaxgaminghub,,,Maniax Gaming Hub,baaz.gg,https://maniaxgaminghub.com/ / https://linktr.ee/baazgg,,ManiaxGamingHub,,Maniax Gaming Hub,,Active,2024.0118,2024.0118
Hilltop Gaming Lounge,Philippines,,Quezon City,Hilltop Gaming Lounge,"261 Katipunan Ave, Quezon City, 1108 Metro Manila",Monthly,Saturday,Tournament,Tekken,SSBU,SF6,,,,,,,,HilltopGamingQC,,,,,,,,,Hilltop Gaming Lounge,Game changes each week,Active,2024.0118,2024.0118
Get to Cup,Russia,Moscow,Moscow,Unknown,"Moscow, Russia",Monthly,Wednesday,Tournament,GGST,SF6,GBVSR,,,,,,,,GetToCup,,GET TO CUP,GET TO CUP (VK),,,,GetToCup,,GET TO CUP,Contact for address,Active,2024.0118,2024.0118
Igrotusa,Russia,Omsk,Omsk,Jinn Lounge Bar,"Ulitsa Lenina, 51, Omsk, Omsk Oblast, Russia, 644010",Monthly,Friday,Casuals,MK1,Tekken,SF6,GGST,Skullgirls,SSBU,,,,,,,,,Игротуса (Igrotusa),,,,,,,Active,2024.0402,2024.0402
FightersGCC,Saudi Arabia,,Riyadh,Unknown,"Riyadh, Saudi Arabia",Weekly,Friday,Casuals,Anime Etc,KOFXV,SF6,UMvC3,Tekken,Various,,,,,FightersGCC,,Fighters GCC,,,,,BadoorSNK,,,Contact for address,Active,2024.0118,2024.0118
Airdasher SG,Singapore,,Singapore,Dreamcore Showroom,"55 Kim Chuan Dr, #09-01 Precise Tree, Singapore 537098",Weekly,Saturday,Casuals,GBVSR,UNI,MBTL,UMvC3,DBFZ,BBCF,GGST,Various,,,airdasher_sea,,Airdasher SEA,AIRDASHER Singapore,,,,Airdasher_SEA,,Airdasher SEA,,Active,2024.0118,2024.0118
EXCLUSIVE Dojo,Slovakia,,Trenčín,Sokolovňa Pub,"Mládežnícka 2, Trenčín, Slovakia 911 01",Monthly,Saturday,Casuals,SF6,Tekken,GGST,KOFXV,Various,,,,,,excelsior_fgc,,EXCELSIOR,,excelsior.fgc,https://linktr.ee/excelsior.fgc,,excelsior_fgc,,excelsior_fgc,Slovak Fighting Game Community,Active,2025.0218,2025.0218
rAge Drive,South Africa,,Johannesburg,Gallagher Convention Center,"19 Richards Dr, Halfway House, Midrand, 1685",Unknown,Sunday,Tournament,SF6,Tekken,MK1,,,,,,,,UGCZA,,,UGCZA,UGCZA,,,UGCZA,,UGCZA,,Active,2024.0118,2024.0118
GGALC Ecorp,Spain,,Alicante,Ecorp,"Carrer Doctor Fleming, 3, 03202 Elx, Alicante",Every 2 Weeks,Saturday,Tournament,GGST,SF6,GBVSR,,,,,,,,StriveAlicante,,Fighting Games ALC,,,,,StriveAlicante,,,,Active,2024.0118,2024.0118
MadridFGC,Spain,,Madrid,MadridFGC,"C. de los Urquiza, 46, B, Cdad. Lineal, 28017 Madrid",Unknown,Unknown,Tournament,Tekken,SF6,GBVSR,GGST,Various,,,,,,MadridFGC,,,,MadridFGC,,madridfgc@gmail.com,MadridFGC,,,,Active,2024.0118,2024.0118
Fighting Games Zaragoza Bracket,Spain,,Zaragoza,Fighting Games Zaragoza,"Calle de las Rosas, 3, Zaragoza",Weekly,Saturday,Tournament,SSBU,SF6,DBFZ,GBVSR,Tekken,SSBM,P+,,,,FGZaragoza,,,,Fighting Games Zaragoza,,,FGZaragoza,,,,Active,2024.0118,2024.0118
Fighting Games Zaragoza Casuals,Spain,,Zaragoza,Fighting Games Zaragoza,"Calle de las Rosas, 3, Zaragoza",Weekly,Sunday,Casuals,SSBU,SF6,DBFZ,GBVSR,Tekken,SSBM,P+,,,,FGZaragoza,,,,Fighting Games Zaragoza,,,FGZaragoza,,,,Active,2024.0118,2024.0118
Inferno Online Ranking Battle,Sweden,,Gothenburg,Inferno Online,"Kungsportsavenyen 26, 411 36 Göteborg",Monthly,Sunday,Tournament,SF6,,,,,,,,,,NegativeEdgeGBG,,Negative Edge Göteborg,Negative Edge Fightingspelsförening,,,,,,,,Active,2024.0119,2024.0119
Kappa Bar Casuals,Sweden,,Gothenburg,Kappa Bar,"Rosenlundsgatan 8, 411 20 Göteborg",Weekly,Varies,Casuals,SF6,,,,,,,,,,NegativeEdgeGBG,,Negative Edge Göteborg,Negative Edge Fightingspelsförening,,,,,,,,Active,2024.0119,2024.0119
Stockholm Smackdown,Sweden,,Stockholm,Dragon's Lair,Kungsholmstorg 8. 112 21 Stockholm,Weekly,Monday,Tournament,Tekken,SF6,GGST,,,,,,,,LightDashSthlm,,LightDash Stockholm,,,,,,,,,Active,2024.0118,2024.0118
Counter Hit,Sweden,,Stockholm,Red Bull Gaming Sphere,"Surbrunnsgatan 59, 113 27 Stockholm, Sweden",Monthly,Sunday,Tournament,GGST,Tekken,SF6,,,,,,,,Flower,,COUNTER HIT,,,,,,,,,Active,2024.1213,2024.1213
Kappa Bar Fight Night,Sweden,,Upssala,Kappa Bar,"Svartbäcksgatan 29, 753 32 Uppsala, Sweden",Weekly,Tuesday,Casuals,Tekken,SF6,Various,,,,,,,,,,Uppsala FGC,,,,,,,,people under 18 need adult supervision; check the discord for meetup days,Active,2024.1213,2024.1213
Monthly Mash,Switzerland,,Basel,ManaBar Basel,"Güterstrasse 99, 4053 Basel",Monthly,Wednesday,Tournament,GBVSR,SF6,UNI,3S,Various,,,,,,okk2094,,HardReadCH,,,https://fgcbasel.club,,JustDaveEU,,,Tournaments vary between normal double elim and fun gimmicks,Active,2024.0118,2024.0118
Versus Wednesdays,Switzerland,,Basel,ManaBar Basel,"Güterstrasse 99, 4053 Basel",Weekly,Wednesday,Casuals,GGST,Tekken,SF6,DBFZ,UNI,Various,,,,,okk2094,,HardReadCH,,,https://fgcbasel.club,,JustDaveEU,,,,Active,2024.0118,2024.0118
HardRead Monthly,Switzerland,,Zurich,HardRead,"Moosmattstrasse 30, 8953 Dietikon",Monthly,Saturday,Tournament,GGST,,,,,,,,,,HardReadCH,,HardReadCH,,,https://www.hardread.ch/,,hardreadch,,,,Active,2024.0118,2024.0118
HardRead Weeklies,Switzerland,,Zurich,HardRead,"Moosmattstrasse 30, 8953 Dietikon",Weekly,Friday,Tournament,SF6,UNI,GGST,Tekken,GBVSR,3S,GGXrd,DBFZ,KOFXV,Various,HardReadCH,,HardReadCH,,,https://www.hardread.ch/,,hardreadch,,,"Games rotate, check the site",Active,2024.0118,2024.0118
Airdasher Thailand,Thailand,,Unknown,Unknown,Thailand,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,AIRDASHER THAILAND,Airdasher Thailand,,,,,,,,Active,2024.0118,2024.0118
StrikeDown,Turkey,,Istanbul,Various,"Istanbul, Turkey",Every 2 Weeks,Unknown,Tournament,MBTL,3S,Various,,,,,,,,RedParryFGC,,RedParry,,RedParryFGC,,,,,,"No set venue; conventions in İstanbul & Ankara, occasionally in Kadıköy",Active,2024.0118,2024.0118
Titans Clash,UAE,Sharjah,Sharjah,Titan Internet Cafe,Sheikh Khalifa Bin Zayed Al Nahyan Rd - Industrial Area - Muwailih Commercial - Sharjah,Monthly,Saturday,Tournament,SF6,,,,,,,,,,VslashEsports,,vSlashesports,,,https://allmylinks.com/vslashesports,,vslashesports,,vSlash eSports,,Active,2024.0118,2024.0118
Waistman Weeklies,UK,England,Bristol,The Lanes Bristol,"22 Nelson St, Bristol BS1 2LE, UK",Weekly,Sunday,Tournament,SF6,GGST,Tekken,GBVSR,3S,Mystery,Various,,,,SodiumShowdown,,"SMBF ""Thuggery""",,,https://superminerbattle.farm/,smbfbristol@gmail.com,SodiumShowdown,,,,Active,2024.0118,2024.0118
